,楼盘,单价,行政区,最小面积,最大面积,最小户型,最大户型
700,武地万科万维天地,31500.0,硚口,119,143,3,3
701,幸福时代大家,16200.0,江岸,69,121,1,3
705,碧桂园桃李东方,8052.0,新洲,109,117,3,3
706,武汉诺德逸都,8580.0,新洲,86,117,3,4
707,天纵时代城,12580.0,黄陂,95,130,3,3
708,宝业星毓府,8100.0,新洲,101,141,3,4
709,金凤东城,8100.0,黄陂,104,173,3,4
710,花博汇桃李春风,32000.0,蔡甸,90,205,3,4
711,武建龙樾上城,11500.0,黄陂,113,148,3,4
712,江南春城,22000.0,青山,97,126,3,3
714,汉津阳光城,7887.0,蔡甸,100,115,3,3
715,佳阳国际,7000.0,新洲,185,185,2,2
721,华发中城中央公园,23000.0,新洲,142,142,5,5
724,广电兰亭盛荟,23857.0,汉阳,170,280,3,4
727,武地融创水韵长洲,7120.0,新洲,88,125,3,4
729,交投华园,15000.0,东湖高新,97,128,3,3
730,华发外滩荟,55000.0,江岸,199,206,3,3
731,佳阳大都府,7461.0,新洲,77,117,2,3
732,交投华园,28000.0,东湖高新,125,140,3,4
735,BOSS SPACE企业家领域,16000.0,东西湖,196,239,6,1
736,BOSS SPACE企业家领域,16000.0,东西湖,37,37,2,2
737,金汇中心,14000.0,东西湖,52,109,1,3
740,盘龙正荣府,13000.0,黄陂,97,115,3,4
741,地铁复兴城,13000.0,武昌,30,168,1,4
743,绿地城,6000.0,汉南,32,98,1,2
745,锦绣江城,16229.0,洪山,78,118,2,3
746,华侨城欢乐天际,16229.0,洪山,106,168,3,4
747,富力西溪悦居,24000.0,东西湖,118,131,4,4
748,中国中铁金桥璟园,20300.0,汉阳,82,127,3,4
756,中城光谷龙山湖,19000.0,东湖高新,165,230,3,4
757,月亮湾壹号,30300.0,武昌,125,180,3,4
762,中建中法之星,30300.0,蔡甸,92,129,3,3
763,城投联投江南岸,17000.0,洪山,105,129,3,3
766,佳兆业滨江新城,8900.0,沌口开发区,92,124,3,4
769,武汉碧桂园公园里,16331.0,东西湖,97,120,3,3
771,武地城开恒瑞欣园,8005.0,蔡甸,99,117,3,3
772,星悦城六期玺樾,20250.0,江岸,106,128,3,3
773,融创首创 | 国际智慧生态城市悦晴天,8500.0,沌口开发区,92,105,3,3
775,武地建发玺院,38000.0,东湖高新,155,155,5,5
777,香澜公馆,17000.0,沌口开发区,111,143,3,3
778,绿地大都会,12000.0,洪山,99,120,3,3
779,纽宾凯汉City总部壹号,17500.0,汉阳,47,67,1,1
780,世茂锦绣长江天胤二期,24500.0,汉阳,113,284,2,4
781,学林御景雅苑,6850.0,新洲,98,124,3,3
782,龙湖光谷城御景,12000.0,东湖高新,73,73,2,2
785,美联城观,19625.0,江岸,77,138,4,4
789,招商愉樾,25000.0,汉阳,88,144,3,4
790,福星惠誉东湖城拾光,14700.0,洪山,29,53,1,1
791,海伦堡海悦世界,14700.0,汉阳,117,143,3,4
794,世茂云锦瑰海园,15700.0,洪山,105,125,3,4
798,招商一江璟城璟公馆,11500.0,青山,38,59,1,1
799,龙湖三千城,16800.0,洪山,110,120,3,3
800,金地朗悦,12000.0,蔡甸,95,125,3,3
801,印湖云著,12000.0,蔡甸,97,134,3,4
802,中国城乡香樾洲,12000.0,沌口开发区,108,188,3,4
804,华发中城中央荟,7800.0,新洲,87,117,3,3
809,元舍,35000.0,东西湖,197,287,4,5
811,城南华府书香世家,35000.0,新洲,95,143,3,4
812,世茂龙湾国风十二期,20000.0,蔡甸,94,107,3,4
815,民发·盛特区,32000.0,东湖高新,113,138,3,4
818,金地朗悦,15000.0,蔡甸,128,143,4,4
822,祥和都市花园,7941.0,新洲,139,139,3,3
823,江南新天地,35000.0,江夏,399,450,4,4
824,海伦堡海悦世界,35000.0,汉阳,69,70,3,3
828,天池雅园,11000.0,黄陂,56,70,1,2
829,万科新世纪翡翠滨江,20000.0,汉阳,112,132,3,4
837,武汉孔雀城壹滨江,8900.0,黄陂,90,110,3,3
838,华宇东原金科渝樾大观,8900.0,汉南,90,105,3,3
844,武汉金茂智慧科学城,8900.0,汉阳,107,181,3,4
857,金色港湾君临水岸,50000.0,沌口开发区,143,156,6,6
858,方岛金茂智慧科学城,50000.0,汉阳,107,181,3,4
865,CBD楚世家,34000.0,江汉,122,215,3,4
866,绿地汉口中心,14000.0,江岸,162,162,4,4
867,兴华御水澜湾,33000.0,汉阳,260,290,5,5
868,碧桂园晴川府,20000.0,汉阳,58,120,1,3
869,海伦国际,13000.0,洪山,139,173,4,8
870,爱家名校华城,12600.0,洪山,90,136,4,4
871,江景湾,6865.0,汉南,121,121,3,3
872,汉南天地,8000.0,汉南,94,129,2,3
874,王家湾中央生活区,8000.0,汉阳,106,109,3,3
875,联投花山郡住宅,15700.0,东湖高新,151,180,3,3
877,光谷青年汇,14000.0,东湖高新,38,51,1,1
878,武汉碧桂园天玺湾,30000.0,江夏,174,450,4,5
879,融侨方圆,11500.0,黄陂,107,137,3,4
881,中南拂晓城,8500.0,黄陂,107,328,1,5
885,光谷创新天地,19258.0,东湖高新,140,180,3,4
888,路劲时代城,8900.0,江夏,92,127,2,2
891,复地海上海,17000.0,汉阳,45,69,1,2
892,滨湖明珠,6900.0,鄂城区,123,123,3,3
893,花样年香门第,16000.0,葛店开发区,143,244,3,5
899,世茂龙湾八期,9000.0,蔡甸,95,123,3,3
901,东原启城,14907.0,洪山,108,142,3,4
903,梦想特区宏图里,14600.0,东西湖,115,204,3,5
904,华发峰尚,7200.0,新洲,90,118,3,3
905,博学尚品,7200.0,沌口开发区,45,79,1,3
906,天宇万象国际二期,16000.0,硚口,108,128,3,3
910,奥特莱斯V公寓,16000.0,黄陂,37,64,1,1
911,武久阳光城,16000.0,新洲,86,111,2,3
913,光谷one39,16000.0,东湖高新,15,126,3,3
914,长投珑庭,16000.0,武昌,50,105,1,3
915,都市礼寓,16000.0,江汉,48,81,1,2
916,青澳都市尚巢,16000.0,汉阳,46,54,2,3
917,万金国际广场,16500.0,武昌,44,50,1,1
919,杨春湖畔,19646.0,洪山,126,126,3,3
920,瑞景天成,19646.0,江岸,89,133,3,3
921,瑞云居,19646.0,江岸,75,126,2,3
922,名流世家,19646.0,江岸,73,102,2,3
923,中部慧谷二期,19646.0,东西湖,43,120,1,4
937,东湖楚天府,26000.0,洪山,40,55,1,2
938,圣诚阳光丽景,26000.0,江岸,28,53,3,3
940,欣隆壹号公馆,26000.0,汉阳,90,124,2,3
942,巴黎春天,26000.0,洪山,84,120,2,3
943,保利茉莉公馆,26000.0,东湖高新,41,41,2,2
945,星海虹城3期鸿玺公馆,26000.0,武昌,69,69,1,1
951,观澜国际,26000.0,汉阳,43,60,2,2
953,西山林语,26000.0,蔡甸,35,48,1,2
956,汉水岸,26000.0,硚口,62,123,2,3
960,金山左岸时代,26000.0,东西湖,50,120,1,3
962,凯旋名居,26000.0,东西湖,90,136,2,4
964,联想江城雅居,26000.0,东湖高新,85,200,2,5
966,福地名郡,26000.0,江夏,86,89,2,2
967,常福国际商务广场,26000.0,蔡甸,117,117,3,3
969,祥生柏景湾学府,26000.0,东西湖,43,93,1,3
970,恒大龙城,26000.0,黄陂,113,128,3,3
971,大拇指广场,26000.0,蔡甸,67,67,3,3
972,大拇指广场,26000.0,蔡甸,40,117,2,3
973,卓尔生活城,26000.0,黄陂,80,128,2,4
974,万科翡翠国际,26000.0,江汉,140,160,3,3
977,观湖天下,26000.0,新洲,95,98,3,3
978,半岛华庭,26000.0,新洲,57,113,1,3
979,汉飞洋房印象,26000.0,黄陂,108,109,3,3
981,华虹领航城,12000.0,黄陂,42,42,3,3
982,阳逻金色港湾,12000.0,新洲,85,132,2,3
983,黄陂人信城,12000.0,黄陂,81,128,2,4
984,鑫城宜居,12000.0,东西湖,80,80,2,2
986,花样年花样城二期,12000.0,东西湖,87,104,3,3
990,紫轩时代广场,12000.0,黄陂,84,116,2,3
992,海天幸福天地一期,12000.0,沌口开发区,54,106,1,3
993,新世界梦湖香郡三期,12000.0,江岸,239,239,4,4
995,兴华御水澜湾,14500.0,汉阳,115,197,3,4
996,海伦春天三期,14500.0,汉阳,97,126,3,4
997,自由半岛,14500.0,黄陂,156,156,4,4
999,统建新干线,14500.0,江岸,87,120,3,3
